author,title,journal,volume,number,pages,year,publisher,doi
Carolyn S. Wallace and Debra J. Coffey,Investigating Elementary Preservice Teachers’ Designs for Integrated Science/Literacy Instruction Highlighting Similar Cognitive Processes,Journal of Science Teacher Education,30,5,507--527,2019,Routledge,10.1080/1046560X.2019.1587569
Sarah-Louise Jones and Richard Procter,"Young peoples’ perceptions of digital, media and information literacies across Europe: gender differences, and the gaps between attitudes and abilities","Technology, Pedagogy and Education",32,4,435--456,2023,Routledge,10.1080/1475939X.2023.2210152
Selin Urhan,The evaluation of computational modelling performance within the context of rationality theory: finding the area between two curves,Research in Mathematics Education,0,0,1--23,2024,Routledge,10.1080/14794802.2024.2382459
Tugba Boz and Martha Allexsaht-Snider,Implementing and sustaining coding and robotics practices in rural elementary school districts: an activity theory perspective,Journal of Research on Technology in Education,0,0,1--19,2023,Routledge,10.1080/15391523.2023.2221870
Rhianne Jones and Bronwyn Jones,Atomising the News: The (In)Flexibility of Structured Journalism,Digital Journalism,7,8,1157--1179,2019,Routledge,10.1080/21670811.2019.1609372
"Ying-Chih Chen, Jia-Ling Lin and Yen-Ting Chen",Teaching Scientific Core Ideas through Immersing Students in Argument: Using Density as an Example,Science Activities,51,3,78--88,2014,Routledge,10.1080/00368121.2014.915792
"Lisa Felske, Martha Inouye, Melissa Parks, Chris Bowen, Sarah Carlson, Claudia Walker, Dennis Schatz, Christine Royce and Katie Morrison",Outstanding Science Trade Books,Science Scope,45,3,65--72,2022,Routledge,10.1080/08872376.2022.12291461
Kelly Bergstrom,Ignoring the blood on the tracks: exits and departures from game studies,Critical Studies in Media Communication,39,3,173--180,2022,NCA Website,10.1080/15295036.2022.2080847
Yusik Choi,Geography Achievement and Opportunity to Learn: A Focus on Computer and Educational Technology,Journal of Geography,120,6,232--238,2021,Routledge,10.1080/00221341.2021.2000010
Adrienne Steele and Sophie Warny,Reconstructing Earth's Past Climates: The Hidden Secrets of Pollen,Science Activities,50,2,62--71,2013,Routledge,10.1080/00368121.2013.792763
Hakan Isik and Muhammet Mustafa Alpaslan,Planning a lab lesson on the law of thermal conduction with learning by preparing to teach design,Science Activities,55,3-4,149--155,2018,Routledge,10.1080/00368121.2018.1564729
"Christopher Bowen, Sarah Carlson, Lisa K. Felske, Martha Inouye, Rhonda Kerr, Rebecca Kurson, Melissa Parks, Amy Leigh Rogers and Claudia Walker",Outstanding Science Tradebooks for Students K-12: 2021,Science and Children,58,3,50--57,2021,Routledge,10.1080/00368148.2021.12291637
Seth C. Lewis,Journalism In An Era Of Big Data,Digital Journalism,3,3,321--330,2015,Routledge,10.1080/21670811.2014.976399
Julie H. Yu and Sara C. Heredia,A Hub for STEM Learning,Connected Science Learning,1,2,12420454,2016,Routledge,10.1080/24758779.2016.12420454
"Christopher Lant, Blanca Pérez-Lapeña, Weidong Xiong, Steven Kraft, Rhonda Kowalchuk and Michael Blair","Environmental Systems Simulations for Carbon, Energy, Nitrogen, Water, and Watersheds: Design Principles and Pilot Testing",Journal of Geoscience Education,64,2,115--124,2016,Routledge,10.5408/14-004.1
"Maria Gonzalez-Howard, Sage Andersen and Karina Mendez Perez",Enhancing Science Lessons to Support Multilingual Students’ Engagement in Science and Engineering Practices,Science Scope,44,3,24--31,2021,Routledge,10.1080/08872376.2021.12291384
"Mengqi Zhang, Elizabeth L. Day, Hunter McFall-Boegeman, Steven J. Petritis and Melanie M. Cooper",Incorporation of green chemistry into undergraduate organic laboratory using cooperative project-based experiments and case studies,Green Chemistry Letters and Reviews,16,1,2183781,2023,Taylor \& Francis,10.1080/17518253.2023.2183781
Christine Anne Royce,"Teaching Through Trade Books: Water, Water Everywhere!",Science and Children,57,1,20--27,2019,Routledge,10.1080/19434812.2019.12292380
"Meggie Harvey, Jan Mokros, Jacob Sagrans and Christine Voyer",What Makes Them Tick? Middle School Data Science Explorations of Ticks and Lyme Disease,Connected Science Learning,2,3,12318738,2020,Routledge,10.1080/24758779.2020.12318738
"Silvia Di Battista, Monica Pivetti and Gilda Bozzi",Brief Research Report: Teachers’ Gender-Differentiated Attributions,The Journal of Experimental Education,92,1,120--129,2024,Routledge,10.1080/00220973.2022.2141175
"Serkan Kapucu, Mertkan Şimşek and Mehmet Fatih Öçal",Calculating the areas of polygons with a smartphone light sensor,Science Activities,54,3-4,96--103,2017,Routledge,10.1080/00368121.2017.1398130
"Christopher Bowen, Sarah Carlson, Lisa K. Felske, Martha Inouye, Rhonda Kerr, Rebecca Kurson, Melissa Parks, Laura Peraza, Amy Leigh Rogers and Claudia Walker",Outstanding Science Trade Books for Students 2020,The Science Teacher,88,3,59--66,2021,Routledge,10.1080/00368555.2021.12293587
Aaron D. Isabelle,STEM Is Elementary: Challenges Faced by Elementary Teachers in the Era of the Next Generation Science Standards,The Educational Forum,81,1,83--91,2017,Routledge,10.1080/00131725.2016.1242678
"Emmanuel Ahr, Patrice Potvin, Patrick Charland, Pierre Chastenay, Lorie-Marlène Brault Foisy, Marie-Hélène Bruyère, Bénédicte Boissard and Guillaume Cyr","The Paper Towels Challenge: an open-ended scientific inquiry activity to promote science understanding, scientific skills and 21st century skills",Science Activities,60,4,147--156,2023,Routledge,10.1080/00368121.2023.2236037
Alex T. St. Louis and Hayat Hokayem,Comparing Undergraduate Nature of Science Views in Traditional Versus Inquiry-Taught Science Courses,Journal of College Science Teaching,52,7,145--152,2023,Routledge,10.1080/0047231X.2023.12315890
"Christopher Bowen, Sarah Carlson, Lisa K. Felske, Martha Inouye, Rhonda Kerr, Rebecca Kurson, Melissa Parks, Amy Leigh Rogers and Claudia Walker",Outstanding Science Trade Books for Students K-12: 2021,Science Scope,44,3,83--90,2021,Routledge,10.1080/08872376.2021.12291392
,Notes on Contributors,Performance Research,27,6-7,266--270,2022,Routledge,10.1080/13528165.2022.2198885
"Anders D. Olofsson, J. Ola Lindberg, Alex Young Pedersen, Ann-Thérèse Arstorp, Christian Dalsgaard, Even Einum, Francesco Caviglia, Liisa Ilomäki, Marjaana Veermans, Päivi Häkkinen and Sara Willermark",Digital competence across boundaries - beyond a common Nordic model of the digitalisation of K-12 schools?,Education Inquiry,12,4,317--328,2021,Routledge,10.1080/20004508.2021.1976454
"S. V. Poor, B. C. Herman and B. A. Janney",Using Video Media to Teach Physics and the Nature of Science,"The Clearing House: A Journal of Educational Strategies, Issues and Ideas",96,4,122--129,2023,Routledge,10.1080/00098655.2023.2205627
"Stephen Kortenkamp, Jinseok Park, Tasnim Alshuli, Garrison Tsinajinie, Sanlyn Buxner, Irene Topor and Sunggye Hong",Touching the Solar System: A Project-Based Learning Astronomy Program for Students with Visual Impairments,Connected Science Learning,4,4,12318648,2022,Routledge,10.1080/24758779.2022.12318648
"Matti Tedre, Simon and Lauri Malmi",Changing aims of computing education: a historical survey,Computer Science Education,28,2,158--186,2018,Routledge,10.1080/08993408.2018.1486624
"Lauren Margulieux, Tuba Ayer Ketenci and Adrienne Decker",Review of measurements used in computing education research and suggestions for increasing standardization,Computer Science Education,29,1,49--78,2019,Routledge,10.1080/08993408.2018.1562145
"Ahmed Ibrahim, Mark W. Aulls and Bruce M. Shore","Development, validation, and factorial comparison of the McGill Self-Efficacy of Learners For Inquiry Engagement (McSELFIE) survey in natural science disciplines",International Journal of Science Education,38,16,2450--2476,2016,Routledge,10.1080/09500693.2016.1249531
"Christos Troussas, Akrivi Krouska, Efthimios Alepis and Maria Virvou",Intelligent and adaptive tutoring through a social network for higher education,New Review of Hypermedia and Multimedia,26,3-4,138--167,2020,Taylor \& Francis,10.1080/13614568.2021.1908436
"Daniel Ericsson, Robert Stasinski and Emma Stenström","Body, mind, and soul principles for designing management education: an ethnography from the future",Culture and Organization,28,3-4,313--329,2022,Routledge,10.1080/14759551.2022.2028148
"Rena Anriana, Gustimal Witri, Zetra Hainul Putra, Muhammad Fendrik, Dahnilsyah and Ayman Aljarrah",Ethnomathematics study in measurement of Bengkalis Malay community as mathematics resources for elementary school,Ethnography and Education,18,3,299--322,2023,Routledge,10.1080/17457823.2023.2232500
Spyros Bofylatos and Thomas Spyrou,Supporting Design Dialogue through a Communication Framework Using Four Layers of Abstraction,The Design Journal,19,2,269--282,2016,Routledge,10.1080/14606925.2016.1130405
"Burkhard Priemer, Katja Eilerts, Andreas Filler, Niels Pinkwart, Bettina Rösken-Winter, Rüdiger Tiemann and Annette Upmeier Zu Belzen",A framework to foster problem-solving in STEM and computing education,Research in Science \& Technological Education,38,1,105--130,2020,Routledge,10.1080/02635143.2019.1600490
"Leiny Garcia, Miranda Parker and Mark Warschauer",Coding attitudes of fourth-grade latinx students during distance learning,Computer Science Education,0,0,1--39,2023,Routledge,10.1080/08993408.2023.2237366
Maria Lindfors and Anders D. Olofsson,The search for professional digital competence in Swedish teacher education policy—A content analysis of the prerequisites for teacher educators’ dual didactic task,Cogent Education,10,2,2272994,2023,Cogent OA,10.1080/2331186X.2023.2272994
Katrina Falkner and Nickolas J.G. Falkner,Supporting and structuring “contributing student pedagogy” in Computer Science curricula,Computer Science Education,22,4,413--443,2012,Routledge,10.1080/08993408.2012.727713
Kristina Litherland and Anders Kluge,Learning to program as empirical inquiry: using a conversation perspective to explore student programming processes,Computer Science Education,34,3,495--519,2024,Routledge,10.1080/08993408.2023.2290410
"Anastasia Gouseti, Minna Lakkala, Juliana Raffaghelli, Maria Ranieri, Alice Roffi and Liisa Ilomäki",Exploring teachers’ perceptions of critical digital literacies and how these are manifested in their teaching practices,Educational Review,0,0,1--35,2023,Routledge,10.1080/00131911.2022.2159933
"Tom Bielik, Kellie Finnie, Deborah Peek-Brown, Chris Klager, Israel Touitou, Barbara Schneider and Joseph Krajcik",High School Teachers’ Perspectives on Shifting towards Teaching NGSS-Aligned Project Based Learning Curricular Units,Journal of Science Teacher Education,33,4,413--434,2022,Routledge,10.1080/1046560X.2021.1961973
John Kwame Boateng,Managing learning outcomes with technology in Ghanaian higher education,Cogent Social Sciences,9,2,2282507,2023,Cogent OA,10.1080/23311886.2023.2282507
Miraç Aydin,Investigating pre-service science teachers’ mobile augmented reality integration into worksheets,Journal of Biological Education,55,3,276--292,2021,Routledge,10.1080/00219266.2019.1682639
Ayse Buber and Gul Unal Coban,From modeling to STEM: a predictor activity of volcanic eruption,Science Activities,57,3,111--121,2020,Routledge,10.1080/00368121.2020.1814193
Bob Gann,Digital Inclusion and Health in Wales,Journal of Consumer Health on the Internet,23,2,146--160,2019,Routledge,10.1080/15398285.2019.1608499
Clare Valerie Bell and Arthur Louis Odom,Understanding Current and Potential Consequences of Population Growth,Science Activities,50,3,73--83,2013,Routledge,10.1080/00368121.2013.803011
,Outstanding Science Trade Books for Students K–12: 2020,Science and Children,57,6,70--77,2020,Routledge,10.1080/00368148.2020.12291547
Rachelle Haroldson,Picture This!,The Science Teacher,89,2,37--43,2021,Routledge,10.1080/00368555.2021.12293652
Armağan Ateşkan and Jennie F. Lane,Promoting field trip confidence: teachers providing insights for pre-service education,European Journal of Teacher Education,39,2,190--201,2016,Routledge,10.1080/02619768.2015.1113252
Hagit Meishar-Tal and Avital Kesler,“If I create a game I'll learn”: online game creation as a tool to promote learning skills of students with learning difficulties,Interactive Learning Environments,31,5,3071--3082,2023,Routledge,10.1080/10494820.2021.1919146
Peggy Harris Willcuts and Cathleen Kennedy,Collaboratory = Collaborate + Laboratory,Connected Science Learning,1,3,12420471,2017,Routledge,10.1080/24758779.2017.12420471
Sevgi Aydın-Günbatar,Making homemade indicator and strips: a STEM + activity for acid-base chemistry with entrepreneurship applications,Science Activities,57,3,132--141,2020,Routledge,10.1080/00368121.2020.1828794
"Patricia Bricker, James Ewing, Lisa K. Felske, Martha Inouye, Rhonda Kerr, Rebecca Kurson, Katherine Anna Mangione, Melissa Parks and Amy Leigh Rogers",Outstanding Science Trade Books for Students 2020,The Science Teacher,87,6,44--51,2020,Routledge,10.1080/00368555.2020.12293506
"Patricia Bricker, James Ewing, Lisa K. Felske, Martha Inouye, Rhonda Kerr, Rebecca Kurson, Katherine Anna Mangione, Melissa Parks and Amy Leigh Rogers",Outstanding Science Trade Books for Students K–12,Science Scope,43,6,68--75,2020,Routledge,10.1080/08872376.2020.12291323
"Quyen Aoh, Cheyenne L. Barger and Maile Chang",The Feeding Minds and Families Afterschool STEM Program,Connected Science Learning,2,4,12318717,2020,Routledge,10.1080/24758779.2020.12318717
Deborah Nolan and Duncan Temple Lang,Comment,The American Statistician,63,2,117--121,2009,ASA Website,10.1198/tas.2009.0024
Danielle Herro,Sustainable Innovations: Bringing Digital Media and Emerging Technologies to the Classroom,Theory Into Practice,54,2,117--127,2015,Routledge,10.1080/00405841.2015.1010834
Beatriz Ortega-Ruipérez and Miguel Lázaro Alcalde,Teachers’ perception about the difficulty and use of programming and robotics in the classroom,Interactive Learning Environments,31,10,7074--7085,2023,Routledge,10.1080/10494820.2022.2061007
