"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Game design workshop to develop computational thinking skills in teenagers with Autism Spectrum Disorders","R. Munoz; T. S. Barcelos; R. Villarroel; I. F. Silveira","Pontificia Universidad Católica, Valparaíso, Chile; Universidade Presbiteriana Mackenzie, Brasil; Pontificia Universidad Católica, Valparaíso, Chile; Universidade Presbiteriana Mackenzie, Brasil",2016 11th Iberian Conference on Information Systems and Technologies (CISTI),"28 Jul 2016","2016","","","1","4","Computational Thinking (CT) has been described as the use of abstraction, automation and analysis skills for problem solving, thus becoming a set of fundamental skills for the 21st century. Many initiatives have emerged to promote early development of CT skills. However, to date, there are no studies in which CT is developed in minority groups, such as individuals with Autism Spectrum Disorders. In this paper we present the design and evaluation of a Game Design Workshop aimed at teenagers with Autism Spectrum Disorders. An analysis of the artifacts produced by the participants of a pilot offering of the workshop was performed using a rubric for CT skills acquisition. The results showed that the participants, all of them with high-functioning autism and no previous experience with programming, acquired intermediate level skills related to CT.","","978-9-8998-4346-2","10.1109/CISTI.2016.7521416","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7521416","autism spectrum disorders;computational thinking;digital games;scratch","Games;Conferences;Autism;Sprites (computer);Computed tomography;Programming;Buildings","","5","","11","","28 Jul 2016","","","IEEE","IEEE Conferences"
"A longitudinal study of the effects of a high school robotics and computational thinking class on academic achievement (WIP)","P. Ko","STEM Education, University of Texas at Austin, Austin, TX, USA",2013 IEEE Frontiers in Education Conference (FIE),"19 Dec 2013","2013","","","181","183","While there has been a rising interest in computational thinking (CT) and a push to include it into the K-12 curriculum, there is little empirical evidence that a class that teaches CT will have any measurable long-term effects on student performance. Using robotics as an example of CT instruction, I propose to examine a high school that has had a large number of robotics students over the past six years to find evidence for the long-term benefits of CT. I will analyze school records (e.g. STEM class enrollment, STEM test scores, SAT scores) for differences between robotics and non-robotics students and compare interviews with selected students.","2377-634X","978-1-4673-5261-1","10.1109/FIE.2013.6684812","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6684812","robotics;computational thinking;longitudinal","Robots;Educational institutions;Interviews;Problem-solving;Programming profession","","5","","14","IEEE","19 Dec 2013","","","IEEE","IEEE Conferences"
"Design Thinking and computational modeling to stop illegal poaching","P. Padmanabhan; A. Baez; C. Caiseda; K. McLane; N. Ellanki; P. Seshaiyer; B. Kwon; E. Massawe","Foxcroft School; Inter American University, Puerto Rico; Inter American University, Puerto Rico; George Mason University; George Mason University; George Mason University; Arizona State University; Nelson Mandela African Institute of Science and Technology, Tanzania",2017 IEEE Integrated STEM Education Conference (ISEC),"27 Apr 2017","2017","","","175","181","In this paper, we describe an interdisciplinary approach using STEM to solving a real-world problem involving poaching. This integrated STEM experience helped a team of researchers that included students from K-12, undergraduate students, graduate students and faculty to collaboratively understand, design and test potential solutions to the problem. The team employed an engineering based Design-Thinking framework combined with effective brainstorming strategies that have been well-established in business, marketing and commercial environments along with a computational mathematics problem solving approach. Not only this integrated STEM experience provided an opportunity for the team of researchers to develop professionally but also gave them an opportunity to become change agents to transform institutional practices and to engage the broader community to inspire the next generation STEM workforce. Specifically, the project framework guided the research team to propose potential integrated STEM based solutions including the application of drones to track illegal poaching as well as the development of an intelligent sensor based tracking system which are validated via sophisticated mathematical and probabilistic algorithms. This overall experience has clearly helped to establish STEM education partnerships and alliances outside traditional boundaries and has helped to create new synergies for all stakeholders who are invested in solving the problem of poaching. Specifically, it has helped to develop an international research experience for high school, undergraduate and graduate students who now have a unique perspective on solving real-world problems in developing countries. The program has helped to promote the much needed awareness of using STEM based solutions to solve global challenges through a multi-disciplinary collaborative approach involving students and faculty from mathematical sciences and engineering who continue to collaborate.","","978-1-5090-5379-7","10.1109/ISECon.2017.7910238","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7910238","Design Thinking;Interdisciplinary;Mathematical Modeling;Global STEM Outreach","Drones;Conferences;Stakeholders;Animals;Collaboration;STEM;Computational modeling","","2","","9","USGov","27 Apr 2017","","","IEEE","IEEE Conferences"
"Self-organizing maps to find computational thinking features in a game building workshop","A. A. Souza; T. S. Barcelos; R. Munoz; I. F. Silveira; N. Omar; L. A. Silva","Instituto Federal de Educacao Ciencia e Tecnologia de Sao Paulo, Sao Paulo, SP, BR; Instituto Federal de Educacao Ciencia e Tecnologia de Sao Paulo, Sao Paulo, SP, BR; Universidad de Valparaiso, Valparaiso, CL; Universidade Presbiteriana Mackenzie, Sao Paulo, SP, BR; Universidade Presbiteriana Mackenzie, Sao Paulo, SP, BR; Universidade Presbiteriana Mackenzie, Sao Paulo, SP, BR",2017 XLIII Latin American Computer Conference (CLEI),"21 Dec 2017","2017","","","1","8","Various didactic strategies to develop Computational Thinking (CT) skills have been successful in terms of student engagement and educational outcomes. However, monitoring the learning progress of students is still a hurdle to teachers and researchers. In this context, we explore the use of self-organizing maps for analyzing games produced in a game building workshop offered simultaneously to technical education students in Brazil and to undergraduate students in Computer Engineering in Chile. Metrics from seven CT features present in the games were extracted with the Dr. Scratch tool and used as an input in the training process. The results allowed a clustering analysis considering the identified features and the correlation between learning behaviors. The organization of the map reflected a progressive skill acquisition identified by features present in the developed games. Also, it could be identified that students of both educational levels reached similar levels of CT skill development.","","978-1-5386-3057-0","10.1109/CLEI.2017.8226407","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8226407","Self Organizing Map;Computational Thinking;Digital Games","Digital TV","","2","","","IEEE","21 Dec 2017","","","IEEE","IEEE Conferences"
"Computational Thinking (CT) and Rebel game Design: CT in health games","H. Lim","Faculty of Engineering and Information Sciences, University of Wollongong, Dubai, UAE",2017 IEEE 5th International Conference on Serious Games and Applications for Health (SeGAH),"8 Jun 2017","2017","","","1","5","Game-based learning (GBL) is a popular innovative pedagogical framework for developing Computational Thinking (CT) skills. The base idea is to use games to help create awareness and generated needed CT skills and abilities; in short, it is “games for CT” approach. This is however, one part of the equation for understanding and developing CT in our modern digital age. The other part of the equation lies in using “CT for games”. This paper addresses this perspective to aid in the understanding and framing of the elusive CT concept. In “CT for games”, this paper highlights and draws attention to using CT for developing games instead of using games to develop CT. The core contributions of the paper are a “CT for games” proposed framework; selected variants of health games and observations of “Rebel Design”. Readers can benefit from a perspective with a different focus and increase awareness and understanding of CT with the hope of grooming future leaders with required CT problem-solving skills and abilities and applying “Rebel Design” for games.","","978-1-5090-5482-4","10.1109/SeGAH.2017.7939263","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7939263","computational thinking (CT);rebel design;game;problem solving;connected;digital ecosystem;framework","Games;Problem-solving;Tools;Handheld computers","","","","24","IEEE","8 Jun 2017","","","IEEE","IEEE Conferences"
"Critical computational empowerment: Engaging youth as shapers of the digital future","M. Tissenbaum; J. Sheldon; L. Seop; C. H. Lee; N. Lao","Massachusetts Institute of Technology, Cambridge, MA; Massachusetts Institute of Technology, Cambridge, MA; Youth Radio, Oakland, CA; St. Mary's College of California, Moraga, CA; Massachusetts Institute of Technology, Cambridge, MA",2017 IEEE Global Engineering Education Conference (EDUCON),"8 Jun 2017","2017","","","1705","1708","While there is growing recognition of the need to support young learners as they develop computational thinking (CT) skills, this paper advocates for an increased focus on computational identity (CI) and digital empowerment (DE) in particular, as we posit that these CT skills will help young learners become self-motivated, innovative creators. When nurturing identity and empowerment, it is a persistent challenge to provide youth with real-world experiences and suitable development tools. This paper advances two key approaches to address these issues: 1) A critical computational literacy approach to engage youth in developing personally meaningful applications that have impact in the real world; 2) the use of a tool, like MIT App Inventor, that lowers barriers to creating useful, impactful technology. Using two case-based studies, we show how these two approaches have supported youth in developing applications that respond to meaningful challenges in their communities and helped them to establish their computational identities and digital empowerment.","2165-9567","978-1-5090-5467-1","10.1109/EDUCON.2017.7943078","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7943078","computational thinking;digital empowerment;computational identity","Computer languages;Tools;Encoding;Context;Engineering education;Conferences","","15","","16","IEEE","8 Jun 2017","","","IEEE","IEEE Conferences"
"Virtual experiment teaching and research oriented to college computer curriculum","F. Li; Y. Chen; Y. Yu; B. Zhang; M. Sun","Computer Science Department, Beijing Institute of Technology, Beijing, China; Computer Science Department, Beijing Institute of Technology, Beijing, China; Computer Science Department, Beijing Institute of Technology, Beijing, China; Computer Science Department, Beijing Institute of Technology, Beijing, China; Computer Science Department, Beijing Institute of Technology, Beijing, China",2016 11th International Conference on Computer Science & Education (ICCSE),"6 Oct 2016","2016","","","439","442","In recent years, with the rise of the concept of Computational Thinking, the issue about College Computer teaching reforms has received wide attention. A high percentage of the research nowadays focuses on how to impart knowledge of computer in the perspective of computational thinking. But more importantly, the research ignores an important way to train thinking - practice. This paper starts with the “College Computer Curriculum”, which is the first computer course for undergraduate students. By using virtual reality technology, this paper gives the college teacher an experimental design method of “College Computer Curriculum”. Some exploratory research works have been performed to explain how to embody the basic problems of computer public course. Finally, we introduce a set of virtual experiment libraries, which are independent research and development. These experiments have already achieved excellent results in the practical teaching of college computer curriculum.","","978-1-5090-2218-2","10.1109/ICCSE.2016.7581620","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7581620","College computer;Computational thinking;Experimental teaching","Education;Computers;Knowledge engineering;Electronic mail;Computer science;Virtual reality;Computational modeling","","3","","7","IEEE","6 Oct 2016","","","IEEE","IEEE Conferences"
"Computational Creativity Exercises: An Avenue for Promoting Learning in Computer Science","M. S. Peteranetz; A. E. Flanigan; D. F. Shell; L. -K. Soh","Department of Educational Psychology, University of Nebraska-Lincoln, Lincoln, NE, USA; Department of Educational Psychology, University of Nebraska-Lincoln, Lincoln, NE, USA; Department of Educational Psychology, University of Nebraska-Lincoln, Lincoln, NE, USA; Department of Computer Science and Engineering, University of Nebraska-Lincoln, Lincoln, NE, USA",IEEE Transactions on Education,"27 Oct 2017","2017","60","4","305","313","Computational thinking and creative thinking are valuable tools both within and outside of computer science (CS). The goal of the project discussed here is to increase students' achievement in CS courses through a series of computational creativity exercises (CCEs). In this paper, the framework of CCEs is described, and the results of two separate studies on their impact on student achievement are presented. Students in introductory CS courses completed CCEs as part of those courses. Students in Study 1 came from a variety of programs, and students in Study 2 were engineering majors. A profiling approach was used to test whether the impact of the CCEs could be accounted for by differences in students' motivated and self-regulated engagement. Overall, CCEs had positive impacts on students' grades and knowledge test scores, and although there were differences in achievement across the profiles, the impact of the CCEs was generally consistent across profiles. The CCEs appear to be a promising way to increase student achievement in introductory CS courses. Implications and directions for future research are discussed.","1557-9638","","10.1109/TE.2017.2705152","National Science Foundation(grant numbers:0829647,1122956,1431874); UNL Phase II Pathways to Interdisciplinary Research Centers Grant; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7940091","Achievement;computational creativity;computational thinking;computer science education;creativity;motivation;problem-solving;self-regulated learning","Creativity;Problem-solving;Ciphers;Tools;Computer science;Algorithm design and analysis;Engineering profession","","25","","47","IEEE","6 Jun 2017","","","IEEE","IEEE Journals"
"A systematic mapping study on assessing computational thinking abilities","A. L. S. O. de Araujo; W. L. Andrade; D. D. Serey Guerrero","Departament of Exact Sciences, Federal University of Paraíba, Paraíba, Brazil; Software Practices Laboratory, Federal University, Campina Grande, Paraíba, Brazil; Software Practices Laboratory, Federal University, Campina Grande, Paraíba, Brazil",2016 IEEE Frontiers in Education Conference (FIE),"1 Dec 2016","2016","","","1","9","Several initiatives have been created to promote Computational Thinking (CT) abilities in students. There are multiple approaches of assessing CT and wide abilities and skills involved. However, the evidence on how to assess CT has not yet been systematically grouped or reviewed. The goal of our study is to identify and classify approaches to promote CT and the different ways of assessing CT abilities. To achieve this goal, a systematic mapping study was planned and executed. The results reveal that: (i) programming courses are the most common pedagogical approaches to promote CT for K-12 students; (ii) multiple skills are involved in CT, but solving problems, algorithms, and abstraction are most common abilities assessed; and (iii) codes and multi-choice questionnaires are the most common artifacts for assessing CT abilities. This study points out to the fact that there are open questions for exploring and developing new researches for promoting and assessing CT abilities.","","978-1-5090-1790-4","10.1109/FIE.2016.7757678","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7757678","","Systematics;Education;Programming profession;Context;Libraries;Vehicles","","30","","39","IEEE","1 Dec 2016","","","IEEE","IEEE Conferences"
"Digital ink for cognitive assessment of computational thinking","A. P. Ambrósio; C. Xavier; F. Georges","Institute of Informatics, Federal University of Goias, Goiania, GO, Brazil; Institute of Informatics, Federal University of Goias, Goiania, GO, Brazil; University Salgado de Oliveira, Goiania, GO, Brazil",2014 IEEE Frontiers in Education Conference (FIE) Proceedings,"19 Feb 2015","2014","","","1","7","Cognitive testing is concerned with quantitative and qualitative evaluation of an individual's intellectual functioning in its broad sense. Tests for evaluating cognitive components are based on submitting the subject to a given task and then assessing performance according to an established set of reference parameters. In order to analyze subject's behavior and test results, a software tool was developed based upon digital ink technology, which permits the digitalization of the assessment procedure, from the undertaking of the test to the production of the assessment results. By doing so, the test procedure is computerized and its data is saved in InkML format and processed to analyze tasks previously defined by the evaluator. We have used this tool to develop a Computational Thinking test defined within the Cattell-Horn-Carroll CHC framework of intelligence. Further investigating the relationship between fluid intelligence and computational thinking allows a better understanding of the main set of cognitive skills which need to be developed by students and professionals that aim to work in this domain. Moreover, it is suggested that assessments, independent of their context, may benefit from using the InkML tool, mainly due to the richer set of information that can be collected.","2377-634X","978-1-4799-3922-0","10.1109/FIE.2014.7044237","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7044237","computational thinking;digital ink;task analysis;tools;cognitive assessment","Ink;Programming profession;Cognition;Problem-solving;Educational institutions;Computers","","20","","29","IEEE","19 Feb 2015","","","IEEE","IEEE Conferences"
"Computational Thinking Skills for Today and Tomorrow’s Talent","H. Saleh","Ministry of Communications and Information Technology, Chairwoman - Information Technology Institute, Egypt",2017 27th International Conference on Computer Theory and Applications (ICCTA),"30 Jul 2021","2017","","","1","1","Summary form only given, as follows. The complete presentation was not made available for publication as part of the conference proceedings. Computational thinking (CT) is a term invented by “J.M. Wing, 2006” to describe a set of thinking skills, behaviors, and approaches that are integral to solving complex challenges using a computer and widely applicable in the information society. CT is a must for today’s and tomorrow’s talent. The added-value of this early exposure to CT is that it will help juniors to shape a solid basis of algorithmic and data structures, which form the basic nuts and bolts of the mechanics of computer programming. The added value of developing professionals has its clear impact on the economy perspective, in light of the forecasted demand for today and tomorrow. (World economic forum, 2017) Computer programming is an outstanding way to develop computational thinking skills. It has been taken programming as a useful way for juniors to learn problem solving and computational thinking with an affirmative and quantifiable effect on juniors’ achievement, not only in areas such as math and science, but also in language skills, creativity, interpersonal skills and social emotional interaction.","","978-1-5386-3794-4","10.1109/ICCTA43079.2017.9497195","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9497195","","Programming profession;Buildings;Information and communication technology;Shape;Qualifications;Problem-solving;Government","","","","","IEEE","30 Jul 2021","","","IEEE","IEEE Conferences"
"Automated Personalized Assessment of Computational Thinking MOOC Assignments","H. M. Jamil","Department of Computer Science, University of Idaho, USA",2017 IEEE 17th International Conference on Advanced Learning Technologies (ICALT),"7 Aug 2017","2017","","","261","263","One of the major hurdles toward automatic semantic understanding of computer programs is the lack of knowledge about what constitutes functional equivalence of code segments. We postulate that a sound knowledgebase can be used to deductively understand code segments in a hierarchical fashion by first de-constructing a code and then reconstructing it from elementary knowledge and equivalence rules of elementary code segments. The approach can also be engineered to produce computable programs from conceptual and abstract algorithms as an inverse function. In this paper, we introduce the core idea behind the MindReader online assessment system that is able to understand a wide variety of elementary algorithms students learn in their entry level programming classes such as Java, C++ and Python. The MindReader system is able to assess student assignments and guide them how to develop correct and better code in real time without human assistance.","2161-377X","978-1-5386-3870-5","10.1109/ICALT.2017.147","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8001776","Authentic assessment;computational thinking;automated assessment;computer programming;program equivalence","Programming profession;Pattern matching;Radiation detectors;Education;Peer-to-peer computing;Semantics","","14","","23","IEEE","7 Aug 2017","","","IEEE","IEEE Conferences"
"A Visualization Tool to Support Analyzing and Evaluating Scratch Projects","C. -K. Chang; Y. -T. Tsai; Y. -L. Chin","Department of Information and Learning Technology, National University of Tainan, Taiwan, R.O.C.; Department of Information and Learning Technology, National University of Tainan, Taiwan, R.O.C.; Department of Information and Learning Technology, National University of Tainan, Taiwan, R.O.C.",2017 6th IIAI International Congress on Advanced Applied Informatics (IIAI-AAI),"16 Nov 2017","2017","","","498","502","In this paper, we combined a visualization tool and Dr. Scratch website service to support instructors evaluating the Scratch projects on an online social networking forum: scratch.mit.edu. Scratch is a visual programming language used by youth to design programs like animation, game, or music. Their computational thinking skills take place around program decompositions, program patterns, and data representation in the shared Scratch programs (called projects). Through the exploratory work, we found that some cues, such as deep nested iteration, may be successfully used as indicators of users computational thinking skills. This suggests future directions for assessing youths computational thinking skills development and educational opportunities emerging from shared Scratch projects.","","978-1-5386-0621-6","10.1109/IIAI-AAI.2017.83","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8113295","visualization;Dr. Scratch;Scratch;visual programming language;computational thinking skill","Visualization;Programming profession;Computer languages;Computer science education;Tools;Games","","6","","6","IEEE","16 Nov 2017","","","IEEE","IEEE Conferences"
"Fostering computational thinking in engineering education: Challenges, examples, and best practices","S. Gross; M. Kim; J. Schlosser; C. Mohtadi; D. Lluch; D. Schneider","MathWorks GmbH, Ismaning, Germany; MathWorks GmbH, Ismaning, Germany; MathWorks GmbH, Ismaning, Germany; MathWorks Ltd., Cambridge, United Kingdom; Math Works, Inc., Natick, MA, USA; Institute of Imaging & Computer Vision, RWTH Aachen University, Aachen, Germany",2014 IEEE Global Engineering Education Conference (EDUCON),"5 Jun 2014","2014","","","450","459","Computational Thinking is a core capability for most engineers. The term summarizes a set of skills needed to transform real-life challenges into problems that can be solved with the help of a computer and to apply computer-based solutions to questions at hand. This mindset is fundamental to almost every engineering task. However, teaching Computational Thinking is a great challenge for educators worldwide. In designing and implementing university curricula, one has to take an increasing number of arguments into consideration. Technological progress requires the design, creation, and analysis of increasingly large and complex systems. Engineering working environments and tasks demand interdisciplinary teams and close communication between involved groups. In designing engineering curricula, these factors need to be considered and the necessary skills must be implicitly or explicitly developed. This paper highlights three examples of classes and projects aimed at enabling students to develop and increase Computational Thinking through systematic introduction of computational tools. From these successful case studies, the paper derives six best practices for fostering Computational Thinking in engineering education. A review of several examples is given, that are used to highlight and extract best practices. This provides a comprehensive overview of the relationships and simplifies the application of the aforementioned principles to course and curriculum designs.","2165-9567","978-1-4799-3191-0","10.1109/EDUCON.2014.6826132","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6826132","curriculum development;computational thinking;engineering skill set;education concepts specific for engineering education;industry and engineering education;integrated curriculum;education tools;project based learning","Engineering education;Computers;Educational institutions;MATLAB;Robot sensing systems;Hardware","","15","","33","IEEE","5 Jun 2014","","","IEEE","IEEE Conferences"
"Deep learning and deep thinking: New application framework by CICT","R. A. Fiorini","Department of Electronics, Politecnico di Milano",2016 IEEE 15th International Conference on Cognitive Informatics & Cognitive Computing (ICCI*CC),"23 Feb 2017","2016","","","117","128","In a previous paper we showed and discussed how computational information conservation theory (CICT) can help us to develop even competitive advanced quantum cognitive computational systems. To achieve reliable system intelligence outstanding results, current computational system modeling and simulation community has to face and to solve two orders of modeling limitations at least. As a solution, we propose an exponential, prespatial arithmetic scheme (“all-powerful scheme”) by CICT to overcome the Information Double-Bind (IDB) problem and to thrive on both deterministic noise (DN) and random noise (RN) to develop powerful cognitive computational frameworks for deep learning, towards deep thinking applications. An operative example is presented. This paper is a relevant contribution towards an effective and convenient “Science 2.0” universal computational framework to develop deeper learning and deep thinking system and application at your fingertips and beyond.","","978-1-5090-3846-6","10.1109/ICCI-CC.2016.7862024","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7862024","Deep learning;deep thinking;cognitive informatics;computational intelligence;CICT","Computational modeling;Brain modeling;Hidden Markov models;Training;Machine learning;Speech recognition","","5","","6","IEEE","23 Feb 2017","","","IEEE","IEEE Conferences"
"Systems Thinking About Systems Thinking A Proposal for a Common Language","N. P. Whitehead; W. T. Scherer; M. C. Smith","American Association for the Advancement of Science, National Science Foundation, Directorate of Engineering, Arlington, VA, USA; Department of Systems and Information Engineering, School of Engineering and Applied Science, University of Virginia, Charlottesville, VA, USA; Department of Systems and Information Engineering, School of Engineering and Applied Science, University of Virginia, Charlottesville, VA, USA",IEEE Systems Journal,"20 Nov 2015","2015","9","4","1117","1128","The concept of systems thinking (and its embodiment in systems approach and systems science) dates from the historical origins of engineering, policy, and philosophy. However, unlike mathematics, physics, biology, and other fields with similar histories, systems thinking lacks a common language that facilitates transparent communication across domains. Examples from the authors' research and from literature show that research in and the practice of systems thinking would benefit from a common language and foundation of systems thinking. We present for discussion the results of our metathinking approach to a standard lexicon of systems thinking, i.e., the Dimensions of Systems Thinking. We also introduce key concepts including the observer effect of systems thinking, the difference between the scope of the analysis and the boundaries of the system, and the distinction between the metrics and indices of performance of a system. The way forward will be to discuss and debate the elements of the language of systems thinking, to establish criteria for evaluating the quality of systems thinking, and to test this methodology on case studies.","1937-9234","","10.1109/JSYST.2014.2332494","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6871367","Metathinking;systems analysis;systems approach;systems engineering;systems science;systems thinking;Metathinking;systems analysis;systems approach;systems engineering;systems science;systems thinking","Biological system modeling;Cognitive science;Analytical models;Computational modeling;Mathematical model","","30","","52","IEEE","5 Aug 2014","","","IEEE","IEEE Journals"
"Towards Machines for Measuring Creativity: The Use of Computational Tools in Storytelling Activities","P. Karampiperis; A. Koukourikos; E. Koliopoulou","Institute of Informatics & Telecommunications National Centre for Scientific Research “Demokritos”, Aghia Paraskevi Attikis, Greece; Institute of Informatics & Telecommunications National Centre for Scientific Research “Demokritos”, Aghia Paraskevi Attikis, Greece; Institute of Informatics & Telecommunications National Centre for Scientific Research “Demokritos”, Aghia Paraskevi Attikis, Greece",2014 IEEE 14th International Conference on Advanced Learning Technologies,"22 Sep 2014","2014","","","508","512","Until now, significant R&D effort in the field of Computational Creativity, has been devoted towards understudying the elements of the creative process from idea conception to production, or towards designing machines which exhibit human level creativity without merely mimicking the human creative process. However, in the effort to determine if an artefact is creative by human standards, it is also important to examine the perception of creativity by humans and to which extend this perception can be formalized and applied on the evaluation of creative works. In this paper, we investigate how the human perception for creativity exhibited in text artefacts can be predicted using appropriate formulations of computational creativity metrics. To this end, we designed and executed a storytelling experiment assisted by the usage of computational tools. We subsequently exploited human-provided rankings of the stories in order to train a model for evaluating creativity as a combination of various characteristics of the produced stories.","2161-377X","978-1-4799-4038-7","10.1109/ICALT.2014.150","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6901525","Computational Creativity;Creativity Evaluation;Semantic Lateral Thinking;Computational Tools","Measurement;Semantics;Computers;Tin;Optimization;Production;Computational modeling","","9","","16","IEEE","22 Sep 2014","","","IEEE","IEEE Conferences"
"A container terminal logistics computational architecture with MPSoC distributed cooperative computing perspective","L. Bin","School of Transportation, Fujian University of Technology, Fuzhou, China",2015 34th Chinese Control Conference (CCC),"14 Sep 2015","2015","","","8709","8714","The systematic solutions to planning and scheduling for container terminal logistics systems (CTLS) have been scarce owing to their high complexity and strong randomness. This paper extended the past research on modeling CTLS with computer composition principles and architecture. The comparability and the further mapping relationships between CTLS and multi-processor system-on-chip (MPSoC) were discussed at great length within the theoretical viewpoints of computational thinking. Whereafter a container terminal logistics computational architecture was put forward for scheduling and execution using the perspective of MPSoC, which was established on the conceptual framework and fundamental principles of distributed, parallel, and cooperative computing in essence. Finally, the approach was demonstrated by investigating the stress testing, load balancing and process behavior of a typical container terminal logistics service case in contrast with the previous work based on the comprehensive computational experiments.","1934-1768","978-9-8815-6389-7","10.1109/ChiCC.2015.7261015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7261015","container terminal logistics;computational thinking;multi-processor system-on-chip;affinity;load balancing","Decision support systems","","","","10","","14 Sep 2015","","","IEEE","IEEE Conferences"
"DISSECT: Analysis of pedagogical techniques to integrate computational thinking into K-12 curricula","T. Burgett; R. Folk; J. Fulton; A. Peel; E. Pontelli; V. Szczepanski","Depts. of Biology, Computer Science, Electrical Engineering, New Mexico State University, Las Cruces, NM, USA; Depts. of Biology, Computer Science, Electrical Engineering, New Mexico State University, Las Cruces, NM, USA; Depts. of Biology, Computer Science, Electrical Engineering, New Mexico State University, Las Cruces, NM, USA; Depts. of Biology, Computer Science, Electrical Engineering, New Mexico State University, Las Cruces, NM, USA; Depts. of Biology, Computer Science, Electrical Engineering, New Mexico State University, Las Cruces, NM, USA; Depts. of Biology, Computer Science, Electrical Engineering, New Mexico State University, Las Cruces, NM, USA",2015 IEEE Frontiers in Education Conference (FIE),"7 Dec 2015","2015","","","1","9","This paper analyzes the efforts of DISSECT (DIScover SciEnce through Computational Thinking) to introduce computer science theories into K-12 Curricula. This is accomplished by teaching computational thinking (CT) problem solving techniques in existing STEM+C courses in select middle and high school classrooms in Las Cruces, New Mexico, USA. Data collected over the course of the fall 2014 and spring 2015 semesters involving 10 graduate fellows, 9 teachers, and over 200 K-12 students has been analyzed. A single assessment was issued at the beginning and end of each semester in order to track metrics about fellow-teacher pairings, student understanding of CT concepts, and student interest in STEM+C areas. Using statistical analysis software to evaluate the data, we were able to determine the efficacy of the DISSECT program. In particular, we use descriptive statistics to evaluate the trends in CT vocabulary recognition and overall interest in computing, and we compare trends across courses and grade levels.","","978-1-4799-8454-1","10.1109/FIE.2015.7344241","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7344241","Computer science;computational thinking;K-12;graduate fellows;statistical analysis;stem+c","Fellows;Computer science;Computers;Education;Problem-solving;Computed tomography;Statistical analysis","","10","","13","IEEE","7 Dec 2015","","","IEEE","IEEE Conferences"
"GK-12 DISSECT: Incorporating computational thinking with K-12 science without computer access","R. Folk; G. Lee; A. Michalenko; A. Peel; E. Pontelli","Depts. of Computer Science and Biology, New Mexico State University, Las Cruces, NM, USA; New Mexico State University, Las Cruces, NM, US; Depts. of Computer Science and Biology, New Mexico State University, Las Cruces, NM, USA; Depts. of Computer Science and Biology, New Mexico State University, Las Cruces, NM, USA; Depts. of Computer Science and Biology, New Mexico State University, Las Cruces, NM, USA",2015 IEEE Frontiers in Education Conference (FIE),"7 Dec 2015","2015","","","1","8","Computational Thinking (CT) introduces computing concepts and demonstrates their usefulness in many other disciplines. CT principles such as algorithmic problem solving, abstraction, modeling and simulation, are integrated into existing STEM (Science, Technology, Engineering, Mathematics) curricula by DISSECT (DIScover SciEnce through Computational Thinking). By pairing a local K-12 teacher with a graduate fellow, DISSECT provides instruction and resources as instruments that are pertinent to each specific discipline. These skills in problem-solving and abstract reasoning are necessary for students to be able to compete in the modern and future job markets. DISSECT works to provide these skill-sets to students and classrooms that lack access to computers. The K-12 teachers and graduate fellows work together to develop modules that are capable of teaching CT concepts that are directly tied to their current curriculum while removing the need for access to computer systems. This paper will focus on the modules developed and executed in middle and high school classrooms, emphasizing the creative ways explored to operate in a computer-free environment discussing the strengths and weaknesses of different approaches, while qualitatively assessing student engagement, learning, and interaction which is gathered through teacher interviews, observations and informal talks with students.","","978-1-4799-8454-1","10.1109/FIE.2015.7344238","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7344238","Computational Thinking;K-12;Graduate Fellows","Fellows;Computer science;Computers;Biology;Problem-solving;Training","","8","","16","IEEE","7 Dec 2015","","","IEEE","IEEE Conferences"
