author,title,journal,volume,number,pages,year,doi,URL,abstract
Ezra Ho,Smart subjects for a Smart Nation? Governing (smart)mentalities in Singapore,Urban Studies,54,13,3101–3118,2017ae,10.1177/0042098016664305,,"As visions of smart urbanism gain traction around the world, it is crucial that we question the benefits that an increasingly technologised urbanity promise. It is not about the technology, but bettering peoples’ lives, insist smart city advocates. In this paper, I question the progressive potential of the smart city drawing on the case of Singapore’s Smart Nation initiative. Using the case studies of the smart home and ‘learning to code’ movement, I highlight the limits of such ‘smart’ interventions as they are stunted by the neoliberal-developmental logics of the state, thereby facilitating authoritarian consolidation in Singapore. As such, this paper distinguishes itself from previous works on the neoliberal smart city by situated smart urbanism within the socio-political dynamics of neoliberalism-as-developmental strategy. For smart urbanism to better peoples’ everyday lives, technological ‘solutionism’ needs to be replaced with more human-centric framings and understandings of urban challenges."
Sinan Hopcan and Elif Polat and Ebru Albayrak,Collaborative Behavior Patterns of Students in Programming Instruction,Journal of Educational Computing Research,60,4,1035–1062,2022af,10.1177/07356331211062260,,"The pair programming approach is used to overcome the difficulties of the programming process in education environments. In this study, the interaction sequences during the paired programming of preservice teachers was investigated. Lag sequential analysis were used to explore students’ behavioral patterns in pair programming. The participants of the study consist of 14 students, seven pairs enrolled in a Programming Languages course. The findings indicate that there are significant behavioral learning sequences. During the program development process, students hesitated to create an algorithm and to improve an existing one while proposing the next step. In addition, they constantly waited for approval. Collaborative behaviors such as giving and receiving feedback and helping other partners were less observed in females. In addition, significant sequential driver and navigator behaviors were presented. The findings of the study have important implications for instructors and designers when using a pair programming approach in teaching programming. In the future, programming instruction environments can be designed by considering the learner behaviors that are presented in this study."
Yueh-Min Huang and Lusia M. Silitonga and Astrid T. Murti and Ting-Ting Wu,Learner Engagement in a Business Simulation Game: Impact on Higher-Order Thinking Skills,Journal of Educational Computing Research,61,1,96–126,2023ag,10.1177/07356331221106918,,"Higher-order thinking skills (HOTS) are reliable predictors of success in school and the workplace. A typical technique for encouraging higher-order thinking is to use instructional design interventions that engage learners in simple cognitive activities. Business simulation game (BSG) is one of the types of interactive learning environments that can increase HOTS. In addition, student engagement and attitude toward technology use are considered strong influences on HOTS. The study explored the effect of using a BSG on HOTS and student engagement. It examined the influence of attitude toward the use of a BSG on HOTS and student engagement. The results of the t-test analysis showed that learning activities using BSG had a positive effect on HOTS and student engagement. Additionally, PLS-SEM analysis results indicated that immersion, interaction, and intention to use the game influence student engagement. Furthermore, student engagement significantly influenced HOTS. The findings indicate that students must demonstrate that they are engaging actively in a course to improve HOTS and that a BSG can be a valuable and effective tool for promoting engagement. Moreover, the COVID-19 pandemic caused limitations in sampling and representativeness of respondents. Future research should involve a bigger sample size and students who have attended related courses."
Amy Hutchison and Anya S. Evmenova,Planning Computer Science Instruction for Students With High-Incidence Disabilities,Intervention in School and Clinic,57,4,262–267,2022ah,10.1177/10534512211024939,,"States increasingly are adopting computer science standards to help students develop coding and computational thinking skills. In an effort to support teachers in introducing computer science content to their students with high-incidence disabilities, a new model, computer science integration planning plus universal design for learning (CSIP+), offers ways to integrate computational thinking and coding into content area instruction. This column presents an example of how a teacher might implement the CSIP+ model when designing instruction accessible to all learners. Guiding questions to support teachers at each phase of the planning cycle are provided."
Gwo-Jen Hwang and Li-Hsien Tung and Jian-Wen Fang,Promoting Students’ Programming Logic and Problem-Solving Awareness With Precision Feedback: A Two-Tier Test-Based Online Programming Training Approach,Journal of Educational Computing Research,60,8,1895–1917,2023ai,10.1177/07356331221087773,,"Fostering students’ computer programming skills has become an important educational issue in the globe. However, it remains a challenge for students to understand those abstract concepts when learning computer programming, implying the need to provide instant learning diagnosis and feedback in computer programming activities. In this study, a Two-Tier Test-Based Programming Training (T3PT) approach was proposed. Accordingly, an online learning system was developed to provide students with precision feedback for guiding them to identify misconceptions of computer programming to improve their computer programming learning achievement. In order to examine the effects of the proposed approach, a learning system was developed and a quasi-experiment was conducted. Two classes of 99 eighth-grade students from Taiwan were divided into an experimental group and a control group. The students in the experimental group used the learning system based on the T3PT approach, while the control group used the conventional learning system. The experimental results showed that the proposed approach was significantly superior to the conventional programming learning approach in terms of students’ programming logic concepts, problem-solving awareness, technology acceptance, and satisfaction with the learning approach. Accordingly, discussion and suggestions are provided for future research."
Kingsley N Igwe and Abdulakeem S Sulyman,Smart libraries: Changing the paradigms of library services,Business Information Review,39,4,147–152,2022aj,10.1177/02663821221110042,,"Libraries as social spaces are bound to evolve based on a society’s level of civilisation and information media. This paper argues that the emergence of smart libraries have changed the paradigms of library by acknowledging the potential benefits and transformation smart library brings to library operations and services. It notes that analytical and computational thinking, data literacy, information literacy, social intelligence, programs and project management, cross-cultural competency, transliteracy, transdisciplinary, design thinking and mindset, virtual collaboration and cognitive load management are skills to be possessed by smart librarians. It highlights cloud computing, big data, 3D printing, IoT, Artificial Intelligence, RFID, drones etc., as the emerging technologies used for smart libraries and further discusses smart services, smart people, smart places and smart governance as the dimensions of smart library. Revelations are further made that smart libraries aid space saving, expansion of library working hours and services and promotes access to information, while remarks are made that lack of technological know-how, technophobia, data privacy and security, etc., are the challenges of smart library. It concludes that the emergence of smart library have facilitated the redefinition of library services and operations and recommends amongst others that librarians should continuously update their skills so that they can meet up with competitions that may arise from the challenges of globalisation of the information landscape."
Jennifer Jenson and Milena Droumeva,Revisiting the media generation: Youth media use and computational literacy instruction,E-Learning and Digital Media,14,4,212–225,2017ak,10.1177/2042753017731357,,
Yasmin B. Kafai and Quinn Burke,Computer Programming Goes Back to School,Phi Delta Kappan,95,1,61–65,2013al,10.1177/003172171309500111,,"Learning programming introduces students to solving problems, designing applications, and making connections online."
Juho Kahila and Teemu Valtonen and Matti Tedre and Kati Mäkitalo and Olli Saarikoski,Children’s Experiences on Learning the 21st-Century Skills With Digital Games,Games and Culture,15,6,685–706,2020am,10.1177/1555412019845592,,"Previous research on learning-related digital games has focused on studying learning outcomes with mostly adult participants. This study explores what children have experienced they have learned by playing digital games, how these learning experiences relate to 21st-century skills, and in which contexts do the children benefit from playing digital games. The data were collected from children’s essays, which were analyzed using qualitative content analysis. Results reveal that children’s learning experiences are often related to 21st-century core subjects and skills, but they also reported improved physical abilities and sports competences from digital games. Children felt that the skills they had gained were beneficial in the contexts of school, sports, and friendships. The results contribute to our understanding of digital games and children by providing children’s perspective on digital games and learning."
Kanika and Shampa Chakraverty and Pinaki Chakraborty,Tools and Techniques for Teaching Computer Programming: A Review,Journal of Educational Technology Systems,49,2,170–198,2020an,10.1177/0047239520926971,,"Courses on computer programming are included in the curricula of almost all engineering disciplines. We surveyed the research literature and identified the techniques that are commonly used by instructors for teaching these courses. We observed that visual programming and game-based learning can enhance computational thinking and problem-solving skills in students and may be used to introduce them to programming. Robot programming may be used to attract students to programming, but the success of this technique is subjected to the availability of robots. Pair and collaborative programming allows students to learn from one another and write efficient programs. Assessment systems help instructors in evaluating programs written by students and provide them with timely feedback. Furthermore, an analysis of citations showed that Scratch is the most researched tool for teaching programming. We discuss how these techniques may be used to teach introductory courses, advanced courses, and massive open online courses on programming."
Keunjae Kim and Kyungbin Kwon,Designing an Inclusive Artificial Intelligence (AI) Curriculum for Elementary Students to Address Gender Differences With Collaborative and Tangible Approaches,Journal of Educational Computing Research,0,0,07356331241271059,2024ao,10.1177/07356331241271059,,"This study presents an inclusive K-12 AI curriculum for elementary schools, focusing on six design principles to address gender disparities. The curriculum, designed by the researchers and an elementary teacher, uses tangible tools, and emphasizes collaboration in solving daily problems. The MANOVA results revealed initial gender differences in AI knowledge. Following MANCOVA analysis showed significant improvements in AI knowledge, as well as perceptions and behavioral intentions toward AI, effectively bridging the observed knowledge gaps without any significant differences attributed to gender or initial knowledge levels. This evidence underscores the success of tangible and collaborative AI interventions in uniformly enhancing AI knowledge and positively changing perceptions and behavioral intentions among all participants, regardless of gender. Both female and non-binary students felt increased engagement and reduced anxiety toward AI, with improved comprehension and a preference for collaborative learning. This study contributes to the design of inclusive AI interventions, highlighting gender differences and including non-binary students as an essential part of the analysis."
Eve Klein and James Lewandowski-Cox,Music technology and Future Work Skills 2020: An employability mapping of Australian undergraduate music technology curriculum,International Journal of Music Education,37,4,636–653,2019ap,10.1177/0255761419861442,,"This study explored how Australian music technology courses teach employability skills. A curriculum mapping of 63 undergraduate courses was conducted with course learning outcomes aligned against two benchmarks. The first benchmark was the Ten Skills for the Future Workforce which identifies key employability skills graduates will require in the coming decade. The second benchmark was the Australian Qualifications Framework Specification for the Bachelor Degree which defines the generic skills graduates must obtain through Australian Bachelor Degrees. This curriculum mapping reveals that Australian music technology courses teach Novel and Adaptive Thinking, Computational Thinking, New Media Literacy, and Design Mindsets universally. However, this curriculum mapping also reveals a deficit in employability skills related to Cross-Cultural Competency, Transdisciplinarity, Virtual Collaboration, and Collaboration more generally. The implications of this mapping is that Australian music technology educators seem to be prioritizing specific technical and creative skills over higher-order applications of skills and knowledge which are contextualized in their broader social and cultural contexts. Finally, this article shows how curriculum mapping can be implemented to embed employability skills progressively across a program sequence using a case study from the School of Music, University of Queensland."
Victoria F. Knight and Leah Wood and Bethany R. McKissick and Emily M. Kuntz,Teaching Science Content and Practices to Students With Intellectual Disability and Autism,Remedial and Special Education,41,6,327–340,2020aq,10.1177/0741932519843998,,"The purpose of this literature review was to synthesize recent research (2009–2018) for teaching science to students with intellectual disability and intellectual disability/autism. Authors identified a total of 15 studies; of these, 12 were determined to be methodologically sound studies using the Council for Exceptional Children quality indicators. Based on the methodologically sound studies, authors analyzed the evidence base of the instructional practices to teach science content and science practices to students with intellectual disability and intellectual disability/autism. Unlike previous literature reviews in which the focus has been on teaching science content, authors contribute to the literature on teaching science to this population by determining the evidence for teaching the science practices (e.g., asking questions, communicating findings). Resulting analysis was used to offer research-based recommendations for providing quality science instruction to students with intellectual disability and intellectual disability/autism. We conclude with limitations and possibilities for future research."
Siu Cheung Kong and Ping Li and Yanjie Song,Evaluating a Bilingual Text-Mining System With a Taxonomy of Key Words and Hierarchical Visualization for Understanding Learner-Generated Text,Journal of Educational Computing Research,56,3,369–395,2018ar,10.1177/0735633117707991,,"This study evaluated a bilingual text-mining system, which incorporated a bilingual taxonomy of key words and provided hierarchical visualization, for understanding learner-generated text in the learning management systems through automatic identification and counting of matching key words. A class of 27 in-service teachers studied a course “e-Learning in primary mathematics” was asked to reflect “what is e-Learning” before and after the course. Their concept of “e-Learning” was investigated by counting the matching key words using the text-mining system and a content analysis of learner-generated text using a rubric, respectively. The correlations of the results using these two methods were .823 and .840 in the preteaching and postteaching reflections. This text-mining system has the potential as a supporting tool for teachers to gain a general understanding of learner-generated text using the hierarchical visualization for supporting pedagogical decision-making, which can be applied to massive open online courses with a large enrolment of learners."
Siu-Cheung Kong and Robert Kwok-Yiu Li and Ron Chi-Wai Kwok,Measuring Parents’ Perceptions of Programming Education in P-12 Schools: Scale Development and Validation,Journal of Educational Computing Research,57,5,1260–1280,2019as,10.1177/0735633118783182,,"Schools around the globe increasingly realized the importance of technology and its application in the education system. To guarantee a successful educational innovation, schools seek out different parties for valuable opinions. Among them, parents are the important feedback providers, because their attitudes are influential on children’s academic performance. Moreover, their involvement and support are considered the key factor that facilitates an effective implementation of programming education at schools. This study aimed at developing and validating an instrument measuring parents’ perceptions of programming education among P-12 schools in Hong Kong. We propose that parents’ perceptions of programming education is a multidimensional construct which constitutes (a) understanding, (b) support, and (c) expectation. In total, 524 questionnaires were collected from the parents who attended programming workshops and seminars. Exploratory factor analysis shows evidence for the three-dimensional construct. Confirmatory factor analysis reconfirms the measurement structure. Implications of the study are discussed."
Siu-Cheung Kong and Bowen Liu,Supporting the Self-Regulated Learning of Primary School Students With a Performance-Based Assessment Platform for Programming Education,Journal of Educational Computing Research,61,5,977–1007,2023at,10.1177/07356331221143832,,This study implemented and evaluated the innovative use of a performance-based assessment platform to support the development of self-regulated learning (SRL) in senior primary students as they completed programming tasks. We embedded SRL support features into a performance-based assessment platform as scaffolding to help the students implement problem-solving strategies. A mixed-methods approach was adopted to evaluate the intervention. The students’ perceptions of their SRL skills after working through the programming tasks were measured by a survey of 45 students. The quantitative results suggested that the students benefited from the performance-based assessment platform in developing their SRL skills. A thematic analysis of interview data from 20 students further indicated that the embedded SRL scaffolding and automatic marking function helped them to solve the programming tasks. The results demonstrate that a well-designed performance-based assessment platform with embedded SRL support can be an effective tool for developing students’ SRL. The qualitative results further revealed that algorithmic thinking is an aspect of programming for which students need more SRL support.
Deddy Barnabas Lasfeto and Saida Ulfa,Modeling of Online Learning Strategies Based on Fuzzy Expert Systems and Self-Directed Learning Readiness: The Effect on Learning Outcomes,Journal of Educational Computing Research,60,8,2081–2104,2023au,10.1177/07356331221094249,,"This study proposes an online learning model based on fuzzy expert systems to recommend learning contents that are most appropriate for facilitating more efficient learning. The process used two computer applications which are Matlab for fuzzy analysis and the learning management system Moodle platform for online learning environment. Besides, considering the learner themselves by their self-directed learning readiness as the moderating variable in this study. To examine the learning strategies, we used aptitude treatment interaction for the learning model. Statistical analysis is used to examine the effect of this strategy and the students’ self-directed learning readiness on the learning outcomes. We found that students who are taught by online learning strategies based on fuzzy expert systems have better learning outcomes than students who are given traditional online learning strategies. Students who have high self-directed learning readiness have higher learning outcomes than students who have low self-directed learning readiness in both online learning strategies. Students who have low self-directed learning readiness are more appropriate to learn by the online learning strategies based on fuzzy expert systems to improve their learning outcomes"
Patti Lather,Post-Face: Cultural Studies of Numeracy,Cultural Studies ↔ Critical Methodologies,16,5,502–505,2016av,10.1177/1532708616655771,,"Re-emphasizing our agenda for this special issue as marking the shift from epistemological to ontological concerns in social science inquiry, Patti Lather locates it in challenging the orthodoxies of both positivist and critical approaches to the calculative, computational thinking and the limits of reason. With a focus on an escape from psychometrics in education research, she grounds her remarks in the context of the wider terrain of the possibilities of quantification for cultural studies and (post)critical inquiry."
Markus Lepper and Baltasar Trancòn y Widemann and Michael Oehler,funCode—Versatile Syntax and Semantics for Functional Harmonic Analysis Labels,Music & Science,5, ,20592043221085660,2022aw,10.1177/20592043221085659,,"Traditional harmonic analysis annotations can be represented in a computer model of a piece of music by plain text strings. But whenever automated processing like analysis, comparison or retrieval is intended, a formal definition is helpful. This should cover not only the syntactic structure, but also the semantics, i.e. the intended meaning, and thus adheres to the technique of mathematical remodelling of existing cultural phenomena. The resulting models can serve as a basis for automated processing, but also help to clarify the communication and discussion among humans substantially. This article proposes such a definition in four layers, which address different problems of encoding and communication: (a) relation of symbol sequences to staff positions, (b) combining functions, (c) chord roots, and (d) interval structure and voice leading. Only one of them is specific to functional (Riemannian) theory and can possibly be replaced to represent scale degree theory. The proposal is configurable to different interval specification methods and open to localisation. Syntax and semantics are defined by precise mathematical means, borrowed from computer science, and thus are unambiguously documented."
Norman P. Lewis and Mindy McAdams and Florian Stalph,Data Journalism,Journalism & Mass Communication Educator,75,1,16–21,2020ax,10.1177/1077695820904971,,"This syndicate offers four recommendations to help educators adjust curricula to accommodate the rapid integration of data into journalism. First, instruction in numeracy and basic descriptive statistics must be required as either modules in existing courses or as separate offerings. Second, students should be taught to avoid mistakes in interpreting and writing about data in both reporting and visual classes. Third, ethics courses should discuss data as a transparency tool that poses distinctive dilemmas. Fourth, computational thinking, or how to dissect and solve problems like a computer does, can be incorporated into existing classes that teach logic."
Ruohan Liu and Feiya Luo and Maya Israel,Technology-Integrated Computing Education in Early Childhood: A Systematic Literature Review,Journal of Educational Computing Research,61,6,1275–1311,2023ay,10.1177/07356331231170383,,"Technology has become an integral part of teaching and learning, but there is still limited understanding of how it is utilized to support computing education in early childhood. To address this knowledge gap, this review investigated the current implementation of computing technologies in early childhood settings, the implementation of computing activities, the learning outcomes achieved by students, and the utilization of assessment strategies to evaluate student learning. Through a systematic review and synthesis of 31 empirical studies published between 2014 and 2020, this review identified: (1) Twenty-two computing technologies that feature three types of computing environments; (2) Eight types of learning activities to engage children in computing; (3) A variety of learning outcomes accomplished in cognitive and non-cognitive dimensions; (4) A wide range of assessment strategies to evaluate students’ outcomes in different dimensions. This review strengthened the evidence base for the benefits of teaching computing with technology to children, informed the design of age-appropriate computing technology and learning activities, and identified research gaps to inform future research. Implications were provided to inform the future design and delivery of computing instruction to early childhood learners."
Ying-Hsiu Liu and Kyungbin Kwon and LaShaune P. Johnson,Exploration of Factors in the Early Collaboration Phase Affecting Virtual Groups’ Overall Collaborative Learning Experiences,Journal of Educational Computing Research,56,4,485–512,2018az,10.1177/0735633117715034,,Collaboration skills have become a critical competency for health care providers. This study aims to understand how individual student characteristics and group process in the early phase of group development are associated with students’ perception of their overall collaborative learning experience. The study was conducted in two consecutive semesters with a total of 86 health sciences undergraduate students participating. The results show that quality communication in the beginning phase of group development and health-care work experiences are two major factors associated with students’ perception of overall collaborative learning. The findings confirm the importance of the initial phase of collaboration. Faculty should deliberately design collaborative learning experiences that offer orientation in enhancing the interactions among group members and allow quality communication to proliferate.
Mpho Mafata and Maria Stander and Keabetswe Masike and Astrid Buica,Exploratory data fusion of untargeted multimodal LC-HRMS with annotation by LCMS-TOF-ion mobility: White wine case study,European Journal of Mass Spectrometry,29,2,111–122,2023ba,10.1177/14690667231164096,,"Applied sciences have increased focus on omics studies which merge data science with analytical tools. These studies often result in large amounts of data produced and the objective is to generate meaningful interpretations from them. This can sometimes mean combining and integrating different datasets through data fusion techniques. The most strategic course of action when dealing with products of unknown profile is to use exploratory approaches. For omics, this means using untargeted analytical methods and exploratory data analysis techniques. The current study aimed to perform data fusion on untargeted multimodal (negative and positive mode) liquid chromatography–high-resolution mass spectrometry data using multiple factor analysis. The data fusion results were interpreted using agglomerative hierarchical clustering on biplot projections. The study reduced the thousands of spectral signals processed to less than a hundred features (a primary parameter combination of retention time and mass-to-charge ratios, RT_m/z). The correlations between cluster members (samples and features from) were calculated and the top 10% highly correlated features were identified for each cluster. These features were then tentatively identified using secondary parameters (drift time, ion mobility constant and collision cross-section values) from the ion mobility spectra. These ion mobility (secondary) parameters can be used for future studies in wine chemical analysis and added to the growing list of annotated chemical signals in applied sciences."
Rick Marlatt and Mark A Sulzer,Illuminating the dark side: A typology for preservice ELA teachers engaging in ideologies of digital texts,E-Learning and Digital Media,18,3,226–250,2021bb,10.1177/2042753020980119,,"Set in English Language Arts, this article takes up recent trends in literacy toward investigating ontological notions of digital texts. Two teacher educators recently implemented a series of readings and activities in their methods courses designed to help preservice teachers sophisticate their conceptions of texts beyond autonomous, neutral collections of information by considering digital age ideas such as software theory, textual ideology, and the algorithmic bias of the Internet. The authors review recent scholarship surrounding the integration of computational thinking and the humanities before illustrating a theoretical framework that combines software-driven interpretation and critical media literacy. Descriptions and applications of course texts and exercises precede a discussion on typological methodology. Through the analysis of semester-long writing reflections and course interactions, a typology of preservice teachers is then presented, illustrating three archetypes: Strategists, Hawkeyes, and Improvers. These archetypes are taken up to analyze the ways in which a range of teacher candidates considered ontological notions of digital texts to analyze instructional techniques, to sharpen their critical lenses, or to gain greater understanding of ELA as a discipline (or some combination of all three). This work demonstrates that as teacher educators and teacher candidates increasingly consider software-powered literacies, interrogations of who we are, who we are becoming, and what it all means requires attention to, and explicit practice with, the dark side of digital texts."
Kelly Mills and Diane Jass Ketelhut and Xiaoyang Gong,"Change of Teacher Beliefs, But Not Practices, Following Integration of Immersive Virtual Environment in the Classroom",Journal of Educational Computing Research,57,7,1786–1811,2019bc,10.1177/0735633119854034,,"Immersive virtual environments (IVEs) model scientific inquiry practices and can provide rich learning experiences for students. However, the teacher is an essential component of how the students engage with the technology, as they embed the IVE into everyday teaching and learning. Ideally, classroom pedagogies would reflect the scientific practices modeled in the IVE to the best extent possible. In this case study, we explore how one teacher enacted authentic scientific practices after 3 years of IVE implementations plus participation in the corresponding professional development (PD) experience. Although the teacher believed that the inquiry practices modeled in the IVE and the PD were an important part of his teaching, these beliefs were not transferred into practice. Our findings suggest that PD should include opportunities for teachers to reflect on their own practice integrating technology and consider external factors contributing to pedagogical change beyond PD."
Yoshan Moodley and Kwabena Asare and Frank Tanser and Andrew Tomita,"Maternal exposure to heat and its association with miscarriage in rural KwaZulu-Natal, South Africa: A population-based cohort study",Women’s Health,20, ,17455057241259172,2024bd,10.1177/17455057241259171,,"Background: We sought to improve the current understanding of how climate change impacts women’s reproductive health in sub-Saharan Africa. Objectives: We investigated the relationship between maternal heat exposure and miscarriage (pregnancy ending before 20 weeks gestation) in a South African setting. Design: Population-based cohort study. Methods: Our study involved data for pregnancies collected via a health and demographic surveillance system in rural KwaZulu-Natal, South Africa between 2012 and 2016. Data from the South African Weather Service were used to compute maternal exposure to heat during the following time windows for each pregnancy: during the month preceding conception (T1) and during the week preceding the study outcome (either a miscarriage or no miscarriage, T2). Heat exposure was operationalized as a continuous variable and defined as the number of days that a mother was exposed to a mean daily temperature of > 26.6°C (A “hot day,” equivalent to a mean daily temperature of > 80°F) during T1 or T2. Binary logistic regression was used to investigate the relationship between maternal heat exposure and miscarriage. Results: A total of 105/3477 pregnancies included in our analysis ended in miscarriage (3.0%). Each additional hot day during T1 was associated with a 26% higher odds of miscarriage (odds ratio: 1.26; 95% confidence interval: 1.15–1.38). No significant associations were observed between maternal heat exposure during T2 and the odds of miscarriage (odds ratio: 0.94, 95% confidence interval: 0.73–1.20). The relationship between maternal heat exposure during T1 and the odds of miscarriage was J-shaped. Conclusion: There is a clear relationship between maternal heat exposure during the month preceding conception and miscarriage in our sub-Saharan African setting. Given the lack of feasible strategies to reduce pregnancy loss associated with prevailing high temperatures in sub-Saharan Africa, progressive climate change will likely exacerbate existing challenges for women’s reproductive health in this region."
Sundeep R. Muppidi,Editorial,Asia Pacific Media Educator,30,2,143–144,2020be,10.1177/1326365X20980855,,
Jay Newell and Wallapak Tavanapong and Sherry Berghefer,"Teaching Ad Tech: Assessing Collaborative Teaching in an Advertising, Computer Science and Design Course",Journal of Advertising Education,21,2,45–53,2017bf,10.1177/109804821702100210,,"Advertising technology is advancing quickly incorporating digital techniques that may be beyond the experience of the individual faculty member. Collaborative teaching, where faculty members from different disciplines co-teach a course, may be a solution. This report assesses the learning outcomes of an advertising technology course taught by faculty from one university’s advertising, computer science and human-computer interaction programs. The course was run twice, with a third one in progress. Students were predominantly advertising majors, with a minority of computer science and design majors. Two semesters of pre- and post-tests were analyzed, finding increases in student comfort with preparing and presenting technologically advanced solutions to advertising challenges."
Hannele Niemi,AI in learning: Preparing grounds for future learning,Journal of Pacific Rim Psychology,15, ,18344909211038104,2021bg,10.1177/18344909211038105,,"This special issue raises two thematic questions: (1) How will AI change learning in the future and what role will human beings play in the interaction with machine learning, and (2), What can we learn from the articles in this special issue for future research? These questions are reflected in the frame of the recent discussion of human and machine learning. AI for learning provides many applications and multimodal channels for supporting people in cognitive and non-cognitive task domains. The articles in this special issue evidence that agency, engagement, self-efficacy, and collaboration are needed in learning and working with intelligent tools and environments. The importance of social elements is also clear in the articles. The articles also point out that the teacher’s role in digital pedagogy primarily involves facilitating and coaching. AI in learning has a high potential, but it also has many limitations. Many worries are linked with ethical issues, such as biases in algorithms, privacy, transparency, and data ownership. This special issue also highlights the concepts of explainability and explicability in the context of human learning. We need much more research and research-based discussion for making AI more trustworthy for users in learning environments and to prevent misconceptions."
Simon P. Rose and M. P. Jacob Habgood and Tim Jay,Designing a Programming Game to Improve Children’s Procedural Abstraction Skills in Scratch,Journal of Educational Computing Research,58,7,1372–1411,2020bh,10.1177/0735633120932871,,"The recent shift in compulsory education from ICT-focused computing curricula to informatics, digital literacy and computer science, has resulted in children being taught computing using block-based programming tools such as Scratch, with teaching that is often limited by school resources and teacher expertise. Even without these limitations, Scratch users often produce code with ‘code smells’ such as duplicate blocks and long scripts which impact how they understand and debug projects. These code smells can be removed using procedural abstraction, an important concept in computer science rarely taught to this age group. This article describes the design of a novel educational block-based programming game, Pirate Plunder, which concentrates on how procedural abstraction is introduced and reinforced. The article then reports an extended evaluation to measure the game’s efficacy with children aged 10 and 11, finding that children who played the game were then able to use procedural abstraction in Scratch. The article then uses game analytics to explore why the game was effective and gives three recommendations for educational game design based on this research: using learning trajectories and restrictive success conditions to introduce complex content, increasing learner investment through customisable avatars and suggestions for improving the evaluations of educational games."
Louisa Haugaard Pedersen,Play culture across makerspaces: Connecting into a global makerspace online,Global Studies of Childhood,10,3,231–247,2020bi,10.1177/2043610620945726,,"This article is based on a school experiment of three local makerspaces that connected and turned into a global makerspace online. The three municipal schools were from Australia, United Kingdom and Denmark and participated in the Global Makerspace project, which was a part of the European Union project Makerspaces in the early years: Enhancing digital literacy and creativity. The Global Makerspace project was conducted over 4 days in the Autumn 2018. The schools’ participating teachers and pupils belonged to the first years of primary level. In this article, the Danish experiences from the project are explored. The data collection analysed draws on a micro-ethnographic study of the experiences from the Danish makerspace completed by the Danish facilitator from the project Makerspaces in the early years: Enhancing digital literacy and creativity. The article identifies the teachers’ and pupils’ maker activities out from a play cultural point of view and reckon making as connecting to describe how offline maker communities connected into one online maker community. The baseline of the school experiment was to explore and stress the potential of how communities like teachers and pupils across time and space in collaboration can transform and develop play cultures with different combinations of technologies by sharing local maker activities into global activities online."
Nikolaos Pellas and Efstratios Peroutseas,Gaming in Second Life via Scratch4SL: Engaging High School Students in Programming Courses,Journal of Educational Computing Research,54,1,108–143,2016bj,10.1177/0735633115612785,,"While pedagogical and technological affordances of three-dimensional (3D) multiuser virtual worlds in various educational disciplines are largely well-known, a study about their effect on high school students’ engagement in introductory programming courses is still lacking. This case study presents students’ opinions about their participation in a 3D multiuser game-like environment, by harnessing Second Life in combination with the two-dimensional (2D) programming environment of Scratch4SL. Following a blended instructional format (face-to-face in a computer laboratory and supplementary online courses), 56 students utilizing Scratch4SL participated in this study, with a view to reduce the “steep learning curve” created during their first-time entrance into Second Life. This study identifies Papert’s theory of Constructionism as a potentially appropriate theoretical foundation for the development of an instructional framework, in order to assist students to coordinate and manage learning materials with other teammates, using their computational thinking skills in collaborative problem-based programming tasks. The study findings based on a mixed-method research (a close-ended questionnaire and an open-ended interview) indicated the effectiveness of this “constructionist-oriented” instructional process for students’ engagement to acquire or empower social, cognitive, higher-order, and computational thinking skills. Educational implications and recommendations for future research are also discussed."
Crystal E. Peoples and Paige Knudsen and Melany Fuentes,The Use of Facial Recognition in Sociological Research: A Comparison of ClarifAI and Kairos Classifications to Hand-Coded Images,Socius,10, ,23780231241259660,2024bk,10.1177/23780231241259659,,"Sociologists increasingly employ machine learning (ML) to quickly sort, code, classify, and analyze data. With known racial and gender biases in ML algorithms, we urge sociologists to (re)consider the implications of the widespread use of these technologies in our research. To illustrate this point, we use two popular ML algorithms, ClarifAI and Kairos, to code a small sample of sociologists (n = 167) and their coauthors (n = 1,664) and compare their findings to the sociologists’ hand-coded race and gender information. We further explore ML-generated differences by analyzing the extent of racial homophily in these sociologists’ collaboration networks. We find significant differences across the three coding methods that would lead to very different conclusions and future research agendas. We conclude by elaborating on how sociologists might ethically consider the role of ML and its use in the discipline."
